month,company_name,arr_usd
2023-01-01,Bright Insights,266140.42
2023-02-01,Bright Insights,270473.38
2023-03-01,Bright Insights,234769.29
2023-04-01,Bright Insights,244924.83
2023-05-01,Bright Insights,265516.71
2023-06-01,Bright Insights,261490.26
2023-07-01,Bright Insights,267340.88
2023-08-01,Bright Insights,257960.34
2023-09-01,Bright Insights,283285.29
2023-10-01,Bright Insights,283895.35
2023-11-01,Bright Insights,276104.32
2023-12-01,Bright Insights,292757.05
2024-01-01,Bright Insights,285615.93
2024-02-01,Bright Insights,268985.12
2024-03-01,Bright Insights,288262.07
2024-04-01,Bright Insights,271374.09
2024-05-01,Bright Insights,299658.82
2024-06-01,Bright Insights,288354.12
2024-07-01,Bright Insights,288424.12
2024-08-01,Bright Insights,283187.16
2024-09-01,Bright Insights,313283.53
2024-10-01,Bright Insights,295022.01
2024-11-01,Bright Insights,293004.16
2024-12-01,Bright Insights,296219.81
2025-01-01,Bright Insights,311737.71
2025-02-01,Bright Insights,311385.42
2025-03-01,Bright Insights,314310.13
2025-04-01,Bright Insights,316807.82
2025-05-01,Bright Insights,345758.49
2025-06-01,Bright Insights,308126.94
2023-01-01,Aurora Works,175746.51
2023-02-01,Aurora Works,179788.19
2023-03-01,Aurora Works,168900.69
2023-04-01,Aurora Works,162433.22
2023-05-01,Aurora Works,162266.95
2023-06-01,Aurora Works,174427.74
2023-07-01,Aurora Works,174887.98
2023-08-01,Aurora Works,172882.19
2023-09-01,Aurora Works,162411.18
2023-10-01,Aurora Works,169638.93
2023-11-01,Aurora Works,168360.32
2023-12-01,Aurora Works,168902.61
2024-01-01,Aurora Works,174034.6
2024-02-01,Aurora Works,168322.38
2024-03-01,Aurora Works,171795.29
2024-04-01,Aurora Works,166409.68
2024-05-01,Aurora Works,167937.18
2024-06-01,Aurora Works,170455.13
2024-07-01,Aurora Works,152918.53
2024-08-01,Aurora Works,162000.44
2024-09-01,Aurora Works,160464.09
2024-10-01,Aurora Works,158786.83
2024-11-01,Aurora Works,161472.25
2024-12-01,Aurora Works,175638.75
2025-01-01,Aurora Works,156060.77
2025-02-01,Aurora Works,170705.28
